cds_id,arxspan_id,version,sm_id,ccle_name,stripped_cell_line_name,patient_id,cellosaurus_id,bam_public_sra_path,internal_bam_filepath,internal_bai_filepath,parent_cell_line,gender,age,primary_site,primary_disease,subtype,subsubtype,origin,mediatype,condition,datatype,sequencing_type,baits,comments,source,sequencing_date,release_date,bam_qc,processing_qc,crc32c_hash,18q1,18q2,18q3,18q4,19q1,19q2,19q3,19q4,20q1,20q2
CDS-DCCksZ,ACH-000956,1,,,22RV1,PT-KLnVw7Nh,,,gs://ccle_bams/RRBS/G29750/22Rv1/v3/22Rv1.bam,gs://ccle_bams/RRBS/G29750/22Rv1/v3/22Rv1.bai,,Male,,prostate,Prostate Cancer,prostate_adenocarcinoma,,prostate,,,RRBS,,,CCLE line,CCLE2,1/4/2013,,,,T0p4rA==,,,,,,,,,,
CDS-PJgE7g,ACH-000948,1,,,2313287,PT-lDpk0veh,,,gs://ccle_bams/RRBS/G29750/23132_87/v1/23132_87.bam,gs://ccle_bams/RRBS/G29750/23132_87/v1/23132_87.bai,,Male,,stomach,Gastric Cancer,gastric_adenocarcinoma,,gastric,,,RRBS,,,CCLE line,CCLE2,1/5/2013,,,,xk8pXg==,,,,,,,,,,
CDS-Xubk2k,ACH-000026,1,,,253JBV,PT-6wkOLXzr,,,gs://ccle_bams/RRBS/G29750/253J-BV/v1/253J-BV.bam,gs://ccle_bams/RRBS/G29750/253J-BV/v1/253J-BV.bai,,Male,,lymph_node,Bladder Cancer,bladder_carcinoma,,urinary_tract,,,RRBS,,,CCLE line; Identical lines: 253J and 253J-BV share high SNP identity,CCLE2,23/7/2013,,,,066ZEQ==,,,,,,,,,,
CDS-ET1Cty,ACH-000011,1,,,253J,PT-6wkOLXzr,,,gs://ccle_bams/RRBS/G29750/253J/v2/253J.bam,gs://ccle_bams/RRBS/G29750/253J/v2/253J.bai,,Male,,lymph_node,Bladder Cancer,bladder_carcinoma,,urinary_tract,,,RRBS,,,CCLE line; Identical lines: 253J and 253J-BV share high SNP identity,CCLE2,10/3/2013,,,,0U18Bg==,,,,,,,,,,
CDS-JOZp0a,ACH-000323,1,,,42MGBA,PT-oPJIfNPX,,,gs://ccle_bams/RRBS/G29750/42-MG-BA/v1/42-MG-BA.bam,gs://ccle_bams/RRBS/G29750/42-MG-BA/v1/42-MG-BA.bai,,Male,,central_nervous_system,Brain Cancer,glioma,astrocytoma,central_nervous_system,,,RRBS,,,CCLE line,CCLE2,25/4/2013,,,,3G5Luw==,,,,,,,,,,
CDS-k4gFNY,ACH-000905,1,,,5637,PT-6MvFRK52,,,gs://ccle_bams/RRBS/G29750/5637/v2/5637.bam,gs://ccle_bams/RRBS/G29750/5637/v2/5637.bai,,Male,,urinary_tract,Bladder Cancer,bladder_carcinoma,,urinary_tract,,,RRBS,,,CCLE line,CCLE2,6/4/2013,,,,myKnIA==,,,,,,,,,,
CDS-4RNpxd,ACH-000520,1,,,59M,PT-tFxdSed0,,,gs://ccle_bams/RRBS/G29750/59M/v3/59M.bam,gs://ccle_bams/RRBS/G29750/59M/v3/59M.bai,,Female,,ascites,Ovarian Cancer,ovary_adenocarcinoma,high_grade_serous,ovary,,,RRBS,,,CCLE line; High grade ovarian serous adenocarcinoma,CCLE2,22/6/2013,,,,yTScwQ==,,,,,,,,,,
CDS-j14Hs6,ACH-000973,1,,,639V,PT-5Y5tAfp3,,,gs://ccle_bams/RRBS/G29750/639-V/v1/639-V.bam,gs://ccle_bams/RRBS/G29750/639-V/v1/639-V.bai,,Male,,urinary_tract,Bladder Cancer,bladder_carcinoma,bladder_transitional_cell,urinary_tract,,,RRBS,,,CCLE line,CCLE2,3/5/2013,,,,CELx6w==,,,,,,,,,,
CDS-1PF2cc,ACH-000896,1,,,647V,PT-oYkV9nVZ,,,gs://ccle_bams/RRBS/G29750/647-V/v2/647-V.bam,gs://ccle_bams/RRBS/G29750/647-V/v2/647-V.bai,,Male,,urinary_tract,Bladder Cancer,bladder_carcinoma,,urinary_tract,,,RRBS,,,CCLE line,CCLE2,1/5/2013,,,,Ali2KA==,,,,,,,,,,
CDS-UtbUJZ,ACH-000070,1,,,697,PT-G2saKAKd,,,gs://ccle_bams/RRBS/G29750/697/v2/697.bam,gs://ccle_bams/RRBS/G29750/697/v2/697.bai,,Male,,bone_marrow,Leukemia,ALL,b_cell,blood,,,RRBS,,,CCLE line,CCLE2,1/5/2013,,,,vV95RQ==,,,,,,,,,,
