cds_id,bam_public_sra_path,internal_bam_filepath,internal_bai_filepath,parent_cell_line,stripped_cell_line_name,gender,notes,primary_site,primary_disease,subtype,comments,arxspan_id,ccle_name,version,sm_id,source,datatype,sequencing_type,sequencing_date,baits,origin,subsubtype,patient_id,release_date,bam_qc,processing_qc,crc32c_hash,18q1,18q2,18q3,18q4,19q1,19q2,19q3,19q4,20q1,20q2
CDS-DCCksZ,,gs://ccle_bams/RRBS/G29750/22Rv1/v3/22Rv1.bam,gs://ccle_bams/RRBS/G29750/22Rv1/v3/22Rv1.bai,,22RV1,Male,Male,prostate,Prostate Cancer,prostate_adenocarcinoma,CCLE line,ACH-000956,,1,,CCLE2,RRBS,,734866.0,,prostate,,PT-KLnVw7Nh,,,,T0p4rA==,,,,,,,,,,
CDS-PJgE7g,,gs://ccle_bams/RRBS/G29750/23132_87/v1/23132_87.bam,gs://ccle_bams/RRBS/G29750/23132_87/v1/23132_87.bai,,2313287,Male,Male,stomach,Gastric Cancer,gastric_adenocarcinoma,CCLE line,ACH-000948,,1,,CCLE2,RRBS,,734895.0,,gastric,,PT-lDpk0veh,,,,xk8pXg==,,,,,,,,,,
CDS-Xubk2k,,gs://ccle_bams/RRBS/G29750/253J-BV/v1/253J-BV.bam,gs://ccle_bams/RRBS/G29750/253J-BV/v1/253J-BV.bai,,253JBV,Male,Male,lymph_node,Bladder Cancer,bladder_carcinoma,CCLE line; Identical lines: 253J and 253J-BV share high SNP identity,ACH-000026,,1,,CCLE2,RRBS,,734978.0,,urinary_tract,,PT-6wkOLXzr,,,,066ZEQ==,,,,,,,,,,
CDS-ET1Cty,,gs://ccle_bams/RRBS/G29750/253J/v2/253J.bam,gs://ccle_bams/RRBS/G29750/253J/v2/253J.bai,,253J,Male,Male,lymph_node,Bladder Cancer,bladder_carcinoma,CCLE line; Identical lines: 253J and 253J-BV share high SNP identity,ACH-000011,,1,,CCLE2,RRBS,,734845.5,,urinary_tract,,PT-6wkOLXzr,,,,0U18Bg==,,,,,,,,,,
CDS-JOZp0a,,gs://ccle_bams/RRBS/G29750/42-MG-BA/v1/42-MG-BA.bam,gs://ccle_bams/RRBS/G29750/42-MG-BA/v1/42-MG-BA.bai,,42MGBA,Male,Male,central_nervous_system,Brain Cancer,glioma,CCLE line,ACH-000323,,1,,CCLE2,RRBS,,734890.0,,central_nervous_system,astrocytoma,PT-oPJIfNPX,,,,3G5Luw==,,,,,,,,,,
CDS-k4gFNY,,gs://ccle_bams/RRBS/G29750/5637/v2/5637.bam,gs://ccle_bams/RRBS/G29750/5637/v2/5637.bai,,5637,Male,Male,urinary_tract,Bladder Cancer,bladder_carcinoma,CCLE line,ACH-000905,,1,,CCLE2,RRBS,,734871.5,,urinary_tract,,PT-6MvFRK52,,,,myKnIA==,,,,,,,,,,
CDS-4RNpxd,,gs://ccle_bams/RRBS/G29750/59M/v3/59M.bam,gs://ccle_bams/RRBS/G29750/59M/v3/59M.bai,,59M,Female,Female,ascites,Ovarian Cancer,ovary_adenocarcinoma,CCLE line; High grade ovarian serous adenocarcinoma,ACH-000520,,1,,CCLE2,RRBS,,734947.25,,ovary,high_grade_serous,PT-tFxdSed0,,,,yTScwQ==,,,,,,,,,,
CDS-j14Hs6,,gs://ccle_bams/RRBS/G29750/639-V/v1/639-V.bam,gs://ccle_bams/RRBS/G29750/639-V/v1/639-V.bai,,639V,Male,Male,urinary_tract,Bladder Cancer,bladder_carcinoma,CCLE line,ACH-000973,,1,,CCLE2,RRBS,,734898.0,,urinary_tract,bladder_transitional_cell,PT-5Y5tAfp3,,,,CELx6w==,,,,,,,,,,
CDS-1PF2cc,,gs://ccle_bams/RRBS/G29750/647-V/v2/647-V.bam,gs://ccle_bams/RRBS/G29750/647-V/v2/647-V.bai,,647V,Male,Male,urinary_tract,Bladder Cancer,bladder_carcinoma,CCLE line,ACH-000896,,1,,CCLE2,RRBS,,734895.0,,urinary_tract,,PT-oYkV9nVZ,,,,Ali2KA==,,,,,,,,,,
CDS-UtbUJZ,,gs://ccle_bams/RRBS/G29750/697/v2/697.bam,gs://ccle_bams/RRBS/G29750/697/v2/697.bai,,697,Male,Male,bone_marrow,Leukemia,ALL,CCLE line,ACH-000070,,1,,CCLE2,RRBS,,734895.0,,blood,b_cell,PT-G2saKAKd,,,,vV95RQ==,,,,,,,,,,
