,index,unknown,v1,v2,v3,v4,v5,v6,current
0,127399_1,,gs://ccle_bams/wes/RP-1211/Exome/127399_1/v1/127399_1.bam,,,,,,gs://ccle_bams/wes/G130264/127399_1/current/127399_1.bam
1,143B,,gs://ccle_bams/wes/143B.bam,,,,,,
2,143B_1,,gs://ccle_bams/wes/G130264/143B_1/current/143B_1.bam,,,,,,
3,22Rv1,,gs://ccle_bams/rna/G16435/22Rv1/v1/22Rv1.bam,,gs://ccle_bams/rna/G29750/22Rv1/v3/22Rv1.bam,,,,gs://ccle_bams/wes/G16640/22Rv1/current/22Rv1.bam
4,23132_87,,gs://ccle_bams/wes/G29750/23132_87/v1/23132_87.bam,gs://ccle_bams/rna/G16362/23132_87/v2/23132_87.bam,,,,,gs://ccle_bams/wes/G16640/23132_87/current/23132_87.bam
5,253J,,gs://ccle_bams/rna/G16640/253J/current/253J.bam,gs://ccle_bams/rna/G29750/253J/v2/253J.bam,,,,,
6,253J-BV,,gs://ccle_bams/rna/G29750/253J-BV/v1/253J-BV.bam,,,,,,
7,42-MG-BA,,gs://ccle_bams/wes/G29750/42-MG-BA/v1/42-MG-BA.bam,,,,,,gs://ccle_bams/wes/G16640/42-MG-BA/current/42-MG-BA.bam
8,5637,,gs://ccle_bams/rna/G16438/5637/v1/5637.bam,gs://ccle_bams/wes/G29750/5637/v2/5637.bam,,,,,gs://ccle_bams/rna/G16640/5637/current/5637.bam
9,59M,gs://ccle_bams/wes/59M.bam,gs://ccle_bams/wes/G32831/59M/v1/59M.bam,,gs://ccle_bams/rna/G29750/59M/v3/59M.bam,,,,
10,639-V,,gs://ccle_bams/rna/G29750/639-V/v1/639-V.bam,,,,,,gs://ccle_bams/wes/G16640/639-V/current/639-V.bam
11,647-V,,gs://ccle_bams/rna/G16640/647-V/current/647-V.bam,gs://ccle_bams/wes/G29750/647-V/v2/647-V.bam,,,,,
12,697,,gs://ccle_bams/wes/G16640/697/current/697.bam,gs://ccle_bams/rna/G29750/697/v2/697.bam,,,,,
13,769-P,,gs://ccle_bams/rna/G32831/769-P/v1/769-P.bam,,,,,,gs://ccle_bams/rna/G16640/769-P/current/769-P.bam
14,786-O,,gs://ccle_bams/wes/G29750/786-O/v1/786-O.bam,gs://ccle_bams/rna/G16344/786-O/v2/786-O.bam,,,,,gs://ccle_bams/wes/RP-1561/Exome/786-O/current/786-O.bam
15,8-MG-BA,,gs://ccle_bams/rna/G29750/8-MG-BA/v1/8-MG-BA.bam,,,,,,gs://ccle_bams/wes/G16640/8-MG-BA/current/8-MG-BA.bam
16,8305C,,gs://ccle_bams/wes/G32831/8305C/v1/8305C.bam,,,,,,gs://ccle_bams/rna/G16640/8305C/current/8305C.bam
17,8505C,,gs://ccle_bams/rna/G29750/8505C/v1/8505C.bam,,,,,,gs://ccle_bams/wes/G16640/8505C/current/8505C.bam
18,921,,gs://ccle_bams/wes/921.bam,,,,,,
19,93T449,,gs://ccle_bams/wes/93T449.bam,,,,,,gs://ccle_bams/rna/RP-1561/RNA/93T449/current/93T449.bam
20,94T778,gs://ccle_bams/rna/94T778.bam,gs://ccle_bams/wes/CCLE_DepMap_WES_July_Dec_2018/RP-1561/Exome/94T778/v1/94T778.bam,,gs://ccle_bams/rna/CCLE_DepMap_RNAseq_July_Dec_2018/RP-1561/RNA/94T778/v3/94T778.bam,,,,
21,9505BIK,,gs://ccle_bams/wes/9505BIK/current/9505BIK.bam,,,,,,
22,95T1000,,gs://ccle_bams/wes/95T1000.bam,,,,,,
23,A-204,,gs://ccle_bams/wes/G29750/A-204/v1/A-204.bam,,gs://ccle_bams/wes/G32831/A-204/v3/A-204.bam,,,,gs://ccle_bams/wes/G16640/A-204/current/A-204.bam
24,A-253,,gs://ccle_bams/wes/RP-1500/Exome/A-253/current/A-253.bam,gs://ccle_bams/wes/G29750/A-253/v2/A-253.bam,,,,,
25,A-375,,gs://ccle_bams/wes/G16453/A-375/v1/A-375.bam,,,,,,gs://ccle_bams/rna/G16640/A-375/current/A-375.bam
26,A-498,,gs://ccle_bams/wes/G16640/A-498/current/A-498.bam,gs://ccle_bams/rna/G29750/A-498/v2/A-498.bam,,,,,
