DepMap_ID,seqnames,start,end,Num_Probes,Segment_Mean,Source
SJRHB002_D,chr1,1,16606000,13955,0.868251558294934,NA
SJRHB002_D,chr1,16606001,16948000,150,0.746385052799441,NA
SJRHB002_D,chr1,16948001,109030000,86376,0.879411924374265,NA
SJRHB002_D,chr1,109030001,109033000,3,0.000661150804622651,NA
SJRHB002_D,chr1,109033001,143540000,10898,0.883111189986442,NA
SJRHB002_D,chr1,143540001,143928000,177,0.458293903703632,NA
SJRHB002_D,chr1,143928001,187611000,36824,0.886467103932688,NA
SJRHB002_D,chr1,187611001,196824500,8625,0.859378149018289,NA
SJRHB002_D,chr1,196824501,196933000,71,1.22051244018877,NA
SJRHB002_D,chr1,196933001,NA,48247,0.886115092746485,NA
SJRHB002_D,chr2,1,207000,182,1.17058686858488,NA
SJRHB002_D,chr2,207001,2247000,1837,1.14682002398127,NA
SJRHB002_D,chr2,2247001,2621000,365,1.15852967629213,NA
SJRHB002_D,chr2,2621001,2945000,303,1.12036591659766,NA
SJRHB002_D,chr2,2945001,3310500,341,1.14930124944505,NA
SJRHB002_D,chr2,3310501,3837000,469,1.13441931366005,NA
SJRHB002_D,chr2,3837001,6318000,2334,1.15871920724628,NA
SJRHB002_D,chr2,6318001,7627000,1265,1.15931289670899,NA
SJRHB002_D,chr2,7627001,7807000,176,1.16276697368667,NA
SJRHB002_D,chr2,7807001,8409000,578,1.14780136880669,NA
SJRHB002_D,chr2,8409001,9424000,967,1.16960955305935,NA
SJRHB002_D,chr2,9424001,10008000,551,1.18704530647468,NA
SJRHB002_D,chr2,10008001,12701000,2542,1.16936231216782,NA
SJRHB002_D,chr2,12701001,12935000,225,1.17063555293649,NA
SJRHB002_D,chr2,12935001,13265500,312,1.18315328822759,NA
SJRHB002_D,chr2,13265501,13459000,180,1.18326072612225,NA
SJRHB002_D,chr2,13459001,17061000,3407,1.15840922781707,NA
SJRHB002_D,chr2,17061001,18831000,1703,1.18216056460049,NA
SJRHB002_D,chr2,18831001,19290000,441,1.18448341642021,NA
SJRHB002_D,chr2,19290001,20148000,823,1.19056715549416,NA
SJRHB002_D,chr2,20148001,24153000,3828,1.18210074909168,NA
SJRHB002_D,chr2,24153001,25034000,825,1.20847614921723,NA
SJRHB002_D,chr2,25034001,26399000,1279,1.18165837219482,NA
SJRHB002_D,chr2,26399001,27245000,807,1.14559650791452,NA
SJRHB002_D,chr2,27245001,31187000,3776,1.17693284213505,NA
