,methodName,methodNamespace,methodPath,methodUri,methodVersion,sourceRepo,name,namespace,rootEntityType
0,common_variant_filter,breardon,,agora://breardon/common_variant_filter/18,18,agora,common_variant_filter,breardon,sample
1,aggregateMAFs_selectFields_copy,gkugener,,agora://gkugener/aggregateMAFs_selectFields_copy/1,1,agora,aggregateMAFs_selectFields_unfiltered,broad-firecloud-ccle,sample_set
2,CGA_WES_CCLE_Characterization_Pipeline_v0.1_Jul2019_v2,broad-firecloud-ccle,,agora://broad-firecloud-ccle/CGA_WES_CCLE_Characterization_Pipeline_v0.1_Jul2019_v2/1,1,agora,CGA_WES_CCLE_Characterization_Pipeline_v0.1_Jul2019_v2,broad-firecloud-ccle,sample
3,CleanSam,broad-firecloud-ccle,,agora://broad-firecloud-ccle/CleanSam/1,1,agora,CleanSam,broad-firecloud-ccle,sample
4,CleanSam_and_Validate-BAM,broad-firecloud-ccle,,agora://broad-firecloud-ccle/CleanSam_and_Validate-BAM/1,1,agora,CleanSam_and_Validate-BAM,broad-firecloud-ccle,sample
5,FixMateInformation-BAM,broad-firecloud-ccle,,agora://broad-firecloud-ccle/FixMateInformation-BAM/3,3,agora,FixMateInformation-BAM,broad-firecloud-ccle,sample
6,,,github.com/gatk-workflows/gatk4-germline-snps-indels/haplotypecaller-gvcf-gatk4-nio,dockstore://github.com%2Fgatk-workflows%2Fgatk4-germline-snps-indels%2Fhaplotypecaller-gvcf-gatk4-nio/1.1.0,1.1.0,dockstore,haplotypecaller-gvcf-gatk4-nio,broad-firecloud-ccle,participant
7,,,github.com/gatk-workflows/seq-format-validation/Validate-BAM,dockstore://github.com%2Fgatk-workflows%2Fseq-format-validation%2FValidate-BAM/1.0.1,1.0.1,dockstore,Validate-BAM,broad-firecloud-ccle,sample_set
8,Validate-BAM,broad-firecloud-ccle,,agora://broad-firecloud-ccle/Validate-BAM/2,2,agora,Validate-BAM_v2,broad-firecloud-ccle,sample
9,BuildBamIndex,firecloud-broad-ccle,,agora://firecloud-broad-ccle/BuildBamIndex/1,1,agora,BuildBamIndex,firecloud-broad-ccle,sample
10,joint-discovery-gatk4,gatk,,agora://gatk/joint-discovery-gatk4/11,11,agora,joint-discovery-gatk4,gatk,sample_set
11,pre-processing-hg38-gatk4,gatk,,agora://gatk/pre-processing-hg38-gatk4/2,2,agora,pre-processing-hg38-gatk4,gatk,sample
12,CGA_WES_CCLE_Characterization_Pipeline_v0.1_Jul2019,getzlab,,agora://getzlab/CGA_WES_CCLE_Characterization_Pipeline_v0.1_Jul2019/1,1,agora,CGA_WES_CCLE_Characterization_Pipeline_v0.1_Jul2019,getzlab,sample
13,aggregateMAFs_selectFields_copy,gkugener,,agora://gkugener/aggregateMAFs_selectFields_copy/1,1,agora,aggregateMAFs_selectFields_copy,gkugener,sample_set
14,filterMAF_on_CGA_pipeline,gkugener,,agora://gkugener/filterMAF_on_CGA_pipeline/9,9,agora,filterMAF_on_CGA_pipeline,gkugener,sample
15,CGA_Production_Analysis_Pipeline_Cell_Lines_debugging_copy,gkugener,,agora://gkugener/CGA_Production_Analysis_Pipeline_Cell_Lines_debugging_copy/1,1,agora,GK_AGILENT_CGA_Production_Analysis_Pipeline_Cell_Lines_copy,gkugener,sample
16,aggregate_vcfs,jkobject,,agora://jkobject/aggregate_vcfs/15,15,agora,aggregate_vcfs,jkobject,sample_set
17,deepvariant_wes,vanallenlab,,agora://vanallenlab/deepvariant_wes/1,1,agora,deepvariant_wes,vanallenlab,sample
