Approved symbol	Previous symbol
A1BG	
A1BG-AS1	NCRNA00181
A1BG-AS1	A1BGAS
A1BG-AS1	A1BG-AS
A1CF	
A2M	
A2M-AS1	
A2ML1	CPAMD9
A2ML1-AS1	
A2ML1-AS2	
A2MP1	A2MP
A3GALT2	A3GALT2P
A4GALT	P1
A4GNT	
A12M1	
A12M2	
A12M3	
A12M4	
AAAS	
AABT	
AACS	
AACSP1	AACSL
AADAC	
AADACL2	
AADACL2-AS1	
AADACL3	
AADACL4	
AADACP1	
AADAT	
AAGAB	
AAK1	
AAMDC	C11orf67
AAMP	
AANAT	
AAR2	C20orf4
AARD	C8orf85
AARS1	AARS
AARS1P1	AARSP1
AARS2	AARSL
AARSD1	
AARSD1P1	
AASDH	
AASDHPPT	
AASS	
AATBC	
AATF	
AATK	
AAVS1	
ABALON	
ABAT	
ABCA1	ABC1
ABCA1	HDLDT1
ABCA2	ABC2
ABCA3	ABC3
ABCA3P1	
ABCA4	STGD1
ABCA4	ABCR
ABCA4	RP19
ABCA4	STGD
ABCA5	
ABCA6	
ABCA7	
ABCA8	
ABCA9	
ABCA9-AS1	
ABCA10	
ABCA11P	ABCA11
ABCA12	ICR2B
ABCA13	
ABCA15P	NCRNA00169
ABCA15P	CRYM-AS1
ABCA17P	
ABCB1	PGY1
ABCB1	MDR1
ABCB1	CLCS
ABCB4	PGY3
ABCB4	MDR3
ABCB5	
ABCB6	
ABCB7	ABC7
ABCB8	
ABCB9	
ABCB10	
ABCB10P1	ABCB10P
ABCB10P1	ABCB10P2
ABCB10P3	
ABCB10P4	
ABCB11	BSEP
ABCB11	PFIC2
ABCC1	MRP
ABCC1	MRP1
ABCC2	CMOAT
ABCC3	
ABCC4	
ABCC5	
ABCC5-AS1	
ABCC6	ARA
ABCC6	PXE
ABCC6P1	
ABCC6P2	
ABCC8	SUR
ABCC8	HRINS
ABCC9	
ABCC10	
ABCC11	
ABCC12	
ABCC13	
ABCD1	ALD
ABCD1P1	
ABCD1P2	
ABCD1P3	
ABCD1P4	
ABCD1P5	
ABCD2	ALDL1
ABCD3	PXMP1
ABCD4	PXMP1L
ABCE1	RNASEL1
ABCE1	RNASELI
ABCE1	RNS4I
ABCF1	ABC50
ABCF1-DT	
ABCF2	
ABCF2-H2BK1	ABCF2-H2BE1
ABCF2P1	
ABCF2P2	
ABCF3	
ABCG1	
ABCG2	
ABCG4	
ABCG5	
ABCG8	
ABHD1	
ABHD2	
ABHD3	
ABHD4	
ABHD5	
ABHD6	
ABHD8	
ABHD10	
ABHD11	WBSCR21
ABHD11-AS2	
ABHD12	C20orf22
ABHD12B	C14orf29
ABHD13	C13orf6
ABHD14A	
ABHD14A-ACY1	
ABHD14B	
ABHD15	
ABHD15-AS1	
ABHD16A	BAT5
ABHD16B	C20orf135
ABHD17A	C19orf27
ABHD17A	FAM108A1
ABHD17AP1	FAM108A2
ABHD17AP1	ABHD17AP2
ABHD17AP1	FAM108A3
ABHD17AP1	FAM108A11P
ABHD17AP1	FAM108A3P
ABHD17AP3	FAM108A4
ABHD17AP3	FAM108A4P
ABHD17AP4	FAM108A5
ABHD17AP4	FAM108A5P
ABHD17AP5	FAM108A6
ABHD17AP5	FAM108A6P
ABHD17AP6	FAM108A7P
ABHD17AP7	FAM108A8P
ABHD17AP8	FAM108A9P
ABHD17AP9	FAM108A10P
ABHD17B	C9orf77
ABHD17B	FAM108B1
ABHD17C	FAM108C1
ABHD18	C4orf29
ABI1	SSH3BP1
ABI1P1	SSH3BP1P
ABI1P1	ABI1P
ABI2	
ABI3	
ABI3BP	
ABITRAM	C9orf6
ABITRAM	FAM206A
ABITRAMP1	FAM206BP
ABL1	ABL
ABL2	ABLL
ABLIM1	LIMAB1
ABLIM1	ABLIM
ABLIM2	
ABLIM3	
ABO	
ABR	
