,stripped_cell_line_name,wes_bam,wes_bai,wgs_bam,wgs_bai,rna_bam,rna_bai,hybrid_capture_bam,hybrid_capture_bai,targeted_bam,targeted_bai,raindance_bam,raindance_bai
ACH-000239,,gs://cclebams/wes/C836.HuG1-N.2.bam,gs://cclebams/wes/C836.HuG1-N.2.bai,,,gs://cclebams/rna/G28852.HuG1-N.3.bam,gs://cclebams/rna/G28852.HuG1-N.3.bai,gs://cclebams/hybrid_capture/HUG1N_STOMACH.bam,gs://cclebams/hybrid_capture/HUG1N_STOMACH.bai,gs://cclebams/targeted/C1926/HuG1-N/current/HuG1-N.bam,gs://cclebams/targeted/C1926/HuG1-N/current/HuG1-N.bai,,
ACH-000537,,gs://cclebams/wes/C836.SNU-761.2.bam,gs://cclebams/wes/C836.SNU-761.2.bai,,,gs://cclebams/rna/Getz_IBM_CellLines_RNASeqData_21samples_09222017/G27475/NA/SNU-761/v2/SNU-761.bam,gs://cclebams/rna/Getz_IBM_CellLines_RNASeqData_21samples_09222017/G27475/NA/SNU-761/v2/SNU-761.bai,gs://cclebams/hybrid_capture/SNU761_LIVER.bam,gs://cclebams/hybrid_capture/SNU761_LIVER.bai,gs://cclebams/targeted/C1926/SNU-761/current/SNU-761.bam,gs://cclebams/targeted/C1926/SNU-761/current/SNU-761.bai,gs://cclebams/raindance/G16640/SNU-761/current/SNU-761.bam,gs://cclebams/raindance/G16640/SNU-761/current/SNU-761.bai
ACH-000657,,,,gs://cclebams/wgs/G16446/A2780/v1/A2780.bam,gs://cclebams/wgs/G16446/A2780/v1/A2780.bai,gs://cclebams/rna/G41668.A2780.5.bam,gs://cclebams/rna/G41668.A2780.5.bai,gs://cclebams/hybrid_capture/A2780_OVARY.bam,gs://cclebams/hybrid_capture/A2780_OVARY.bai,,,gs://cclebams/raindance/G16640/A2780/current/A2780.bam,gs://cclebams/raindance/G16640/A2780/current/A2780.bai
ACH-000658,,,,,,gs://cclebams/rna/G41793.KMS-18-2.bam,gs://cclebams/rna/G41793.KMS-18-2.bai,gs://cclebams/hybrid_capture/KMS-18.bam,gs://cclebams/hybrid_capture/KMS-18.bai,,,gs://cclebams/raindance/G16640/KMS-18/current/KMS-18.bam,gs://cclebams/raindance/G16640/KMS-18/current/KMS-18.bai
ACH-000152,,,,,,gs://cclebams/rna/G28001.M059K.1.bam,gs://cclebams/rna/G28001.M059K.1.bai,gs://cclebams/hybrid_capture/M059K_CENTRAL_NERVOUS_SYSTEM.bam,gs://cclebams/hybrid_capture/M059K_CENTRAL_NERVOUS_SYSTEM.bai,,,gs://cclebams/raindance/M059K.bam,gs://cclebams/raindance/M059K.bai
ACH-000991,,,,,,gs://cclebams/rna/G30633.SNU-81.1.bam,gs://cclebams/rna/G30633.SNU-81.1.bai,gs://cclebams/hybrid_capture/SNU81_LARGE_INTESTINE.bam,gs://cclebams/hybrid_capture/SNU81_LARGE_INTESTINE.bai,gs://cclebams/targeted/C1926/SNU-81/current/SNU-81.bam,gs://cclebams/targeted/C1926/SNU-81/current/SNU-81.bai,,
ACH-000081,,gs://cclebams/wes/CDS-bXr1zg.hg19.bam,gs://cclebams/wes/CDS-bXr1zg.hg19.bai,,,gs://cclebams/rna/G27388.GDM-1.1.bam,gs://cclebams/rna/G27388.GDM-1.1.bai,gs://cclebams/hybrid_capture/GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bam,gs://cclebams/hybrid_capture/GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.bai,,,gs://cclebams/raindance/G16640/GDM-1/current/GDM-1.bam,gs://cclebams/raindance/G16640/GDM-1/current/GDM-1.bai
ACH-000393,,,,,,gs://cclebams/rna/G26219.HLF.2.bam,gs://cclebams/rna/G26219.HLF.2.bai,gs://cclebams/hybrid_capture/HLF.merged.bam,gs://cclebams/hybrid_capture/HLF.merged.bai,,,,
ACH-000417,,,,,,gs://cclebams/rna/G27242.Panc_08.13.1.bam,gs://cclebams/rna/G27242.Panc_08.13.1.bai,gs://cclebams/hybrid_capture/PANC0813_PANCREAS.bam,gs://cclebams/hybrid_capture/PANC0813_PANCREAS.bai,,,gs://cclebams/raindance/G16640/Panc_08.13/current/Panc_08.13.bam,gs://cclebams/raindance/G16640/Panc_08.13/current/Panc_08.13.bai
ACH-000907,,gs://cclebams/wes/C836.SNU-349.2.bam,gs://cclebams/wes/C836.SNU-349.2.bai,,,gs://cclebams/rna/G27539.SNU-349.2.bam,gs://cclebams/rna/G27539.SNU-349.2.bai,gs://cclebams/hybrid_capture/SNU349_KIDNEY.bam,gs://cclebams/hybrid_capture/SNU349_KIDNEY.bai,,,,
