ensembl_id,symbol,Chromosome,start,end
100287102,DDX11L1,1,11873,14409
653635,WASH7P,1,14361,29370
645520,FAM138A,1,34393,77690
79501,OR4F5,1,69090,70008
729737,LOC729737,1,134772,140566
102725121,LOC102725121,1,182387,184878
101928626,LOC101928626,1,627379,629009
100133331,LOC100133331,1,725758,730351
100288069,LOC100288069,1,764864,778688
400728,FAM87B,1,817370,819834
79854,LINC00115,1,826205,827522
643837,LINC01128,1,827590,859446
284593,FAM41C,1,868070,876802
100130417,LOC100130417,1,916817,919692
148398,SAMD11,1,925740,944581
26155,NOC2L,1,944202,959299
339451,KLHL17,1,960586,965719
84069,PLEKHN1,1,966496,975104
84808,PERM1,1,975198,982117
57801,HES4,1,998961,1000172
9636,ISG15,1,1013466,1014539
375790,AGRN,1,1020122,1056119
100288175,LOC100288175,1,1059733,1066453
401934,RNF223,1,1071745,1074307
54991,C1orf159,1,1081817,1116356
254099,LINC01342,1,1137016,1144054
406984,MIR200B,1,1167103,1167198
406983,MIR200A,1,1167862,1167952
554210,MIR429,1,1169004,1169087
254173,TTLL10,1,1173905,1197933
8784,TNFRSF18,1,1203507,1206709
7293,TNFRSF4,1,1211325,1214168
51150,SDF4,1,1216907,1232067
126792,B3GALT6,1,1232248,1235040
388581,C1QTNF12,1,1242445,1246722
118424,UBE2J2,1,1253911,1273854
6339,SCNN1D,1,1280435,1292029
116983,ACAP3,1,1292383,1307889
102465434,MIR6726,1,1296109,1296170
109623456,SNORD167,1,1304728,1304812
126789,PUSL1,1,1308579,1311677
54973,INTS11,1,1311584,1324687
102465435,MIR6727,1,1312501,1312566
80772,CPTP,1,1324762,1328896
83756,TAS1R3,1,1331345,1335320
1855,DVL1,1,1335277,1349112
102466740,MIR6808,1,1339649,1339708
54587,MXRA8,1,1352688,1363541
54998,AURKAIP1,1,1373729,1375438
81669,CCNL2,1,1385710,1399342
148413,LOC148413,1,1399529,1402046
55052,MRPL20,1,1401895,1407313
441869,ANKRD65,1,1418419,1421444
643965,TMEM88B,1,1426127,1427787
102724312,LINC01770,1,1430156,1434573
64856,VWA1,1,1435522,1442882
219293,ATAD3C,1,1449688,1470158
83858,ATAD3B,1,1471754,1496204
55210,ATAD3A,1,1512142,1534687
339453,TMEM240,1,1534777,1540360
29101,SSU72,1,1541672,1574882
643988,FNDC10,1,1598007,1600096
105378586,LOC105378586,1,1599432,1607210
142678,MIB2,1,1615414,1630610
8510,MMP23B,1,1632180,1634654
8511,MMP23A,1,1632779,1701808
984,CDK11B,1,1635225,1659097
728661,SLC35E2B,1,1661477,1692804
728642,CDK11A,1,1702383,1724565
9906,SLC35E2A,1,1724837,1745999
65220,NADK,1,1751231,1780147
2782,GNB1,1,1785284,1891117
163688,CALML6,1,1914826,1917294
339456,TMEM52,1,1917589,1919301
85452,CFAP74,1,1921950,2003837
2563,GABRD,1,2019328,2030753
105378591,LOC105378591,1,2049200,2050070
5590,PRKCZ,1,2050469,2185399
100506504,PRKCZ-AS1,1,2181793,2183875
199990,FAAP20,1,2184459,2212720
6497,SKI,1,2228694,2310213
79906,MORN1,1,2321252,2391751
100129534,LOC100129534,1,2350414,2352661
11079,RER1,1,2391774,2405446
5192,PEX10,1,2404801,2412571
9651,PLCH2,1,2467458,2505530
55229,PANK4,1,2508530,2526628
388585,HES5,1,2528744,2530245
115110,TNFRSF14-AS1,1,2549919,2557011
8764,TNFRSF14,1,2556364,2565622
100996583,LOC100996583,1,2566534,2584534
127281,FAM213B,1,2586459,2591469
79258,MMEL1,1,2590641,2633042
100287898,TTC34,1,2641367,2789665
140625,ACTRT2,1,3021481,3022903
440556,LINC00982,1,3059616,3067725
63976,PRDM16,1,3069177,3438621
100422968,MIR4251,1,3127974,3128035
27237,ARHGEF16,1,3454582,3481113
1953,MEGF6,1,3487941,3611495
693135,MIR551A,1,3560695,3560790
127262,TPRG1L,1,3624991,3630130
49856,WRAP73,1,3630766,3650107
7161,TP73,1,3652564,3736201
57212,TP73-AS1,1,3735983,3747373
148870,CCDC27,1,3752400,3771645
388588,SMIM1,1,3772760,3775982
57470,LRRC47,1,3780219,3796504
9731,CEP104,1,3812080,3857233
1677,DFFB,1,3857266,3885429
339448,C1orf174,1,3889132,3900293
100133612,LINC01134,1,3900403,3915447
728716,LINC01346,1,3940611,3952583
105376672,LINC01345,1,3947148,3948980
284661,LINC01777,1,4412050,4424684
105376679,LINC01646,1,4571486,4583704
55966,AJAP1,1,4655044,4783791
100616421,MIR4689,1,5862671,5862741
261734,NPHP4,1,5862807,5992473
8514,KCNAB2,1,5992297,6101193
26038,CHD5,1,6101786,6180134
6146,RPL22,1,6185019,6199619
102724450,LOC102724450,1,6204839,6205780
388591,RNF207,1,6206128,6221299
23463,ICMT,1,6221192,6235984
148645,LINC00337,1,6236239,6239442
390992,HES3,1,6244191,6245578
387509,GPR153,1,6247345,6260975
11332,ACOT7,1,6264271,6393766
54626,HES2,1,6415233,6419919
83715,ESPN,1,6424787,6460944
100422975,MIR4252,1,6429833,6429896
8718,TNFRSF25,1,6461153,6466195
57449,PLEKHG5,1,6466091,6520061
79707,NOL9,1,6521346,6554598
80835,TAS1R1,1,6555277,6579757
3104,ZBTB48,1,6579990,6589280
9903,KLHL21,1,6590723,6602898
148479,PHF13,1,6613695,6624033
90326,THAP3,1,6624864,6635586
55735,DNAJC11,1,6634167,6701906
100505887,LINC01672,1,6724744,6730012
110841581,CAMTA1-DT,1,6783891,6784980
23261,CAMTA1,1,6785323,7769706
102725193,LOC102725193,1,7382486,7389754
9341,VAMP3,1,7771268,7781432
8863,PER3,1,7784428,7845180
10911,UTS2,1,7847611,7853491
3604,TNFRSF9,1,7915870,7943165
11315,PARK7,1,7961653,7985282
54206,ERRFI1,1,8011718,8026333
102724539,LINC01714,1,8208671,8215208
50651,SLC45A1,1,8318084,8344167
473,RERE,1,8352403,8817640
102724552,LOC102724552,1,8424644,8435016
106632271,SNORD128,1,8494799,8494913
2023,ENO1,1,8861001,8878686
102465436,MIR6728,1,8866501,8866590
100505975,ENO1-AS1,1,8878834,8879884
765,CA6,1,8945833,8975089
155184,SLC2A7,1,9003299,9026345
6518,SLC2A5,1,9036945,9072227
80045,GPR157,1,9104416,9129170
106614088,MIR34AHG,1,9148010,9182338
407040,MIR34A,1,9151667,9151777
102724571,LINC01759,1,9182203,9192085
9563,H6PD,1,9234803,9271335
80176,SPSB1,1,9292881,9369531
100506022,LOC100506022,1,9425093,9428996
84275,SLC25A33,1,9539468,9582773
199953,TMEM201,1,9588873,9614877
5293,PIK3CD,1,9651730,9728922
644997,PIK3CD-AS1,1,9652609,9654586
101929074,PIK3CD-AS2,1,9672425,9687574
22883,CLSTN1,1,9729020,9824526
56998,CTNNBIP1,1,9848275,9910258
84328,LZIC,1,9922112,9943427
64802,NMNAT1,1,9942922,9985498
100847055,MIR5697,1,9967380,9967458
116362,RBP7,1,9997196,10016020
10277,UBE4B,1,10032982,10181238
