entity:sample_id	participant	Source	target_type	WES_bai	WES_bam	WES_bam_path
ccle2_ACH-000011	ACH-000011	ccle2	AGILENT	gs://fc-c7d47ebf-26a0-404c-8ef6-a1eb59c32e54/C836.253J.1.bam.bai	gs://fc-c7d47ebf-26a0-404c-8ef6-a1eb59c32e54/C836.253J.1.bam	
ccle2_ACH-000013	ACH-000013	ccle2	AGILENT	gs://fc-c7d47ebf-26a0-404c-8ef6-a1eb59c32e54/C836.ONCO-DG-1.2.bam.bai	gs://fc-c7d47ebf-26a0-404c-8ef6-a1eb59c32e54/C836.ONCO-DG-1.2.bam	
ccle2_ACH-000020	ACH-000020	ccle2	AGILENT	gs://fc-c7d47ebf-26a0-404c-8ef6-a1eb59c32e54/C836.MHH-CALL-2.1.bam.bai	gs://fc-c7d47ebf-26a0-404c-8ef6-a1eb59c32e54/C836.MHH-CALL-2.1.bam	
ccle2_ACH-000026	ACH-000026	ccle2	AGILENT	gs://fc-c7d47ebf-26a0-404c-8ef6-a1eb59c32e54/C836.253J-BV.4.bam.bai	gs://fc-c7d47ebf-26a0-404c-8ef6-a1eb59c32e54/C836.253J-BV.4.bam	
ccle2_ACH-000027	ACH-000027	ccle2	AGILENT	gs://fc-c7d47ebf-26a0-404c-8ef6-a1eb59c32e54/C836.GOS-3.2.bam.bai	gs://fc-c7d47ebf-26a0-404c-8ef6-a1eb59c32e54/C836.GOS-3.2.bam	
ccle2_ACH-000031	ACH-000031	ccle2	AGILENT	gs://fc-c7d47ebf-26a0-404c-8ef6-a1eb59c32e54/C836.Panc_02.13.2.bam.bai	gs://fc-c7d47ebf-26a0-404c-8ef6-a1eb59c32e54/C836.Panc_02.13.2.bam	
ccle2_ACH-000032	ACH-000032	ccle2	AGILENT	gs://fc-c7d47ebf-26a0-404c-8ef6-a1eb59c32e54/C836.MHH-CALL-3.1.bam.bai	gs://fc-c7d47ebf-26a0-404c-8ef6-a1eb59c32e54/C836.MHH-CALL-3.1.bam	
ccle2_ACH-000039	ACH-000039	ccle2	AGILENT	gs://fc-c7d47ebf-26a0-404c-8ef6-a1eb59c32e54/C836.SK-N-MC.2.bam.bai	gs://fc-c7d47ebf-26a0-404c-8ef6-a1eb59c32e54/C836.SK-N-MC.2.bam	
ccle2_ACH-000041	ACH-000041	ccle2	AGILENT	gs://fc-c7d47ebf-26a0-404c-8ef6-a1eb59c32e54/C836.RD-ES.2.bam.bai	gs://fc-c7d47ebf-26a0-404c-8ef6-a1eb59c32e54/C836.RD-ES.2.bam	
ccle2_ACH-000042	ACH-000042	ccle2	AGILENT	gs://fc-c7d47ebf-26a0-404c-8ef6-a1eb59c32e54/C836.Panc_02.03.2.bam.bai	gs://fc-c7d47ebf-26a0-404c-8ef6-a1eb59c32e54/C836.Panc_02.03.2.bam	
ccle2_ACH-000043	ACH-000043	ccle2	AGILENT	gs://fc-c7d47ebf-26a0-404c-8ef6-a1eb59c32e54/C836.Hs_895.T.1.bam.bai	gs://fc-c7d47ebf-26a0-404c-8ef6-a1eb59c32e54/C836.Hs_895.T.1.bam	
ccle2_ACH-000051	ACH-000051	ccle2	AGILENT	gs://fc-c7d47ebf-26a0-404c-8ef6-a1eb59c32e54/C836.TE_617.T.2.bam.bai	gs://fc-c7d47ebf-26a0-404c-8ef6-a1eb59c32e54/C836.TE_617.T.2.bam	
