,cds_id,arxspan_id,version,sm_id,ccle_name,stripped_cell_line_name,patient_id,cellosaurus_id,bam_public_sra_path,internal_bam_filepath,internal_bai_filepath,parent_cell_line,gender,matched_normal,age,primary_site,primary_disease,subtype,subsubtype,origin,mediatype,condition,datatype,sequencing_type,baits,comments,source,sequencing_date,release_date,bam_qc,processing_qc,crc32c_hash,18q1,18q2,18q3,18q4,19q1,19q2,19q3,19q4,20q1,20q2,size
0,CDS-DCCksZ,ACH-000956,1,,,22RV1,PT-KLnVw7Nh,CVCL_1045,,gs://cclebams/RRBS/G29750/22Rv1/v3/22Rv1.bam,gs://cclebams/RRBS/G29750/22Rv1/v3/22Rv1.bai,,Male,,A,prostate,Prostate Cancer,prostate_adenocarcinoma,,prostate,,,RRBS,,,CCLE line,CCLE2,1/4/2013,,,,T0p4rA==,,,,,,,,,,,1722086062
1,CDS-PJgE7g,ACH-000948,1,,,2313287,PT-lDpk0veh,CVCL_1046,,gs://cclebams/RRBS/G29750/23132_87/v1/23132_87.bam,gs://cclebams/RRBS/G29750/23132_87/v1/23132_87.bai,,Male,,72.0,stomach,Gastric Cancer,gastric_adenocarcinoma,,gastric,,,RRBS,,,CCLE line,CCLE2,1/5/2013,,,,xk8pXg==,,,,,,,,,,,2854601387
2,CDS-Xubk2k,ACH-000026,1,,,253JBV,PT-6wkOLXzr,CVCL_7937,,gs://cclebams/RRBS/G29750/253J-BV/v1/253J-BV.bam,gs://cclebams/RRBS/G29750/253J-BV/v1/253J-BV.bai,,Male,,53.0,lymph_node,Bladder Cancer,bladder_carcinoma,,urinary_tract,,,RRBS,,,CCLE line; Identical lines: 253J and 253J-BV share high SNP identity,CCLE2,23/7/2013,,,,066ZEQ==,,,,,,,,,,,3219100602
3,CDS-ET1Cty,ACH-000011,1,,,253J,PT-6wkOLXzr,CVCL_7935,,gs://cclebams/RRBS/G29750/253J/v2/253J.bam,gs://cclebams/RRBS/G29750/253J/v2/253J.bai,,Male,,53.0,lymph_node,Bladder Cancer,bladder_carcinoma,,urinary_tract,,,RRBS,,,CCLE line; Identical lines: 253J and 253J-BV share high SNP identity,CCLE2,10/3/2013,,,,0U18Bg==,,,,,,,,,,,733932451
4,CDS-JOZp0a,ACH-000323,1,,,42MGBA,PT-oPJIfNPX,CVCL_1798,,gs://cclebams/RRBS/G29750/42-MG-BA/v1/42-MG-BA.bam,gs://cclebams/RRBS/G29750/42-MG-BA/v1/42-MG-BA.bai,,Male,,63.0,central_nervous_system,Brain Cancer,glioma,astrocytoma,central_nervous_system,,,RRBS,,,CCLE line,CCLE2,25/4/2013,,,,3G5Luw==,,,,,,,,,,,2202898535
5,CDS-k4gFNY,ACH-000905,1,,,5637,PT-6MvFRK52,CVCL_0126,,gs://cclebams/RRBS/G29750/5637/v2/5637.bam,gs://cclebams/RRBS/G29750/5637/v2/5637.bai,,Male,,68.0,urinary_tract,Bladder Cancer,bladder_carcinoma,,urinary_tract,,,RRBS,,,CCLE line,CCLE2,6/4/2013,,,,myKnIA==,,,,,,,,,,,3655133685
6,CDS-4RNpxd,ACH-000520,1,,,59M,PT-tFxdSed0,CVCL_2291,,gs://cclebams/RRBS/G29750/59M/v3/59M.bam,gs://cclebams/RRBS/G29750/59M/v3/59M.bai,,Female,,65,ascites,Ovarian Cancer,ovary_adenocarcinoma,high_grade_serous,ovary,,,RRBS,,,CCLE line; High grade ovarian serous adenocarcinoma,CCLE2,22/6/2013,,,,yTScwQ==,,,,,,,,,,,2942185231
7,CDS-j14Hs6,ACH-000973,1,,,639V,PT-5Y5tAfp3,CVCL_1048,,gs://cclebams/RRBS/G29750/639-V/v1/639-V.bam,gs://cclebams/RRBS/G29750/639-V/v1/639-V.bai,,Male,,69.0,urinary_tract,Bladder Cancer,bladder_carcinoma,bladder_transitional_cell,urinary_tract,,,RRBS,,,CCLE line,CCLE2,3/5/2013,,,,CELx6w==,,,,,,,,,,,1769220132
8,CDS-1PF2cc,ACH-000896,1,,,647V,PT-oYkV9nVZ,CVCL_1049,,gs://cclebams/RRBS/G29750/647-V/v2/647-V.bam,gs://cclebams/RRBS/G29750/647-V/v2/647-V.bai,,Male,,59,urinary_tract,Bladder Cancer,bladder_carcinoma,,urinary_tract,,,RRBS,,,CCLE line,CCLE2,1/5/2013,,,,Ali2KA==,,,,,,,,,,,912231364
9,CDS-UtbUJZ,ACH-000070,1,,,697,PT-G2saKAKd,CVCL_0079,,gs://cclebams/RRBS/G29750/697/v2/697.bam,gs://cclebams/RRBS/G29750/697/v2/697.bai,,Male,,12.0,bone_marrow,Leukemia,ALL,b_cell,blood,,,RRBS,,,CCLE line,CCLE2,1/5/2013,,,,vV95RQ==,,,,,,,,,,,733138666
10,CDS-5s0Pqa,ACH-000411,1,,,769P,PT-PRFotcHf,CVCL_1050,,gs://cclebams/RRBS/G29750/769-P/v1/769-P.bam,gs://cclebams/RRBS/G29750/769-P/v1/769-P.bai,,Female,,63.0,kidney,Kidney Cancer,renal_cell_carcinoma,clear_cell,kidney,,,RRBS,,,CCLE line,CCLE2,24/4/2013,,,,KmvMow==,,,,,,,,,,,3076752511
11,CDS-h8wy9j,ACH-000649,1,,,786O,PT-JLZKYOJS,CVCL_1051,,gs://cclebams/RRBS/G29750/786-O/v1/786-O.bam,gs://cclebams/RRBS/G29750/786-O/v1/786-O.bai,,Male,,58.0,kidney,Kidney Cancer,renal_cell_carcinoma,clear_cell,kidney,,,RRBS,,,CCLE line,CCLE2,3/5/2013,,,,+To5zg==,,,,,,,,,,,2218256770
12,CDS-wnEDpD,ACH-000137,1,,,8MGBA,PT-O4ZlsfND,CVCL_1052,,gs://cclebams/RRBS/G29750/8-MG-BA/v1/8-MG-BA.bam,gs://cclebams/RRBS/G29750/8-MG-BA/v1/8-MG-BA.bai,,Female,,54.0,central_nervous_system,Brain Cancer,glioma,astrocytoma,central_nervous_system,,,RRBS,,,CCLE line,CCLE2,3/5/2013,,,,wHq8oQ==,,,,,,,,,,,3115578851
13,CDS-FwFOFk,ACH-001306,1,,,8305C,PT-KUpI8Pww,CVCL_1053,,gs://cclebams/RRBS/G29750/8305C/v1/8305C.bam,gs://cclebams/RRBS/G29750/8305C/v1/8305C.bai,,Female,,67.0,thyroid,Thyroid Cancer,thyroid_carcinoma,,thyroid,,,RRBS,,,CCLE line,CCLE2,28/4/2013,,,,d+Us5A==,,,,,,,,,,,2854668850
14,CDS-j7uEn4,ACH-001307,1,,,8505C,PT-NrzZdz3l,CVCL_1054,,gs://cclebams/RRBS/G29750/8505C/v1/8505C.bam,gs://cclebams/RRBS/G29750/8505C/v1/8505C.bai,,Female,,78.0,thyroid,Thyroid Cancer,thyroid_carcinoma,,thyroid,,,RRBS,,,CCLE line,CCLE2,25/4/2013,,,,0oFKBw==,,,,,,,,,,,3011134508
15,CDS-IKwhWq,ACH-000201,1,,,A204,PT-z5aR8w5q,CVCL_1058,,gs://cclebams/RRBS/G29750/A-204/v1/A-204.bam,gs://cclebams/RRBS/G29750/A-204/v1/A-204.bai,,Female,,1.0,soft_tissue,Rhabdoid,malignant_rhabdoid_tumor,,soft_tissue,,,RRBS,,,CCLE line,CCLE2,24/4/2013,,,,KCSr9w==,,,,,,,,,,,2912892469
16,CDS-9H0fWU,ACH-000740,1,,,A253,PT-gdcTlKbA,CVCL_1060,,gs://cclebams/RRBS/G29750/A-253/v2/A-253.bam,gs://cclebams/RRBS/G29750/A-253/v2/A-253.bai,,Male,,54.0,upper_aerodigestive_tract,Head and Neck Cancer,upper_aerodigestive_squamous,salivary_gland,upper_aerodigestive,,,RRBS,,,CCLE line; Salivary gland squamous cell carcinoma,CCLE2,2/5/2013,,,,2cvwSQ==,,,,,,,,,,,1676454839
17,CDS-lMztPx,ACH-000219,1,,,A375,PT-vgbGzKls,CVCL_0132,,gs://cclebams/RRBS/G29750/A-375/v1/A-375.bam,gs://cclebams/RRBS/G29750/A-375/v1/A-375.bai,,Female,,54.0,skin,Skin Cancer,melanoma,,skin,,,RRBS,,,CCLE line; A373-C6 has been derived from the parental line A375 by limiting dilution together with its twin clone A375-C5 which is IL-1 unresponsive (ECACC).,CCLE2,3/5/2013,,,,CDmoaA==,,,,,,,,,,,1903565589
18,CDS-2Mvi26,ACH-000555,1,,,A498,PT-UliEIMsS,CVCL_1056,,gs://cclebams/RRBS/G29750/A-498/v2/A-498.bam,gs://cclebams/RRBS/G29750/A-498/v2/A-498.bai,,Male,,52.0,kidney,Kidney Cancer,renal_cell_carcinoma,,kidney,,,RRBS,,,CCLE line,CCLE2,5/4/2013,,,,xAWh7A==,,,,,,,,,,,1632772250
19,CDS-cpFUml,ACH-000052,1,,,A673,PT-qNV2hluC,CVCL_0080,,gs://cclebams/RRBS/G29750/A-673/v2/A-673.bam,gs://cclebams/RRBS/G29750/A-673/v2/A-673.bai,,Female,,15.0,soft_tissue,Bone Cancer,Ewing_sarcoma,,bone,,,RRBS,,,(RNAseq) EWS/FLI,CCLE2,2/5/2013,,,,+FUjWQ==,,,,,,,,,,,3280218606
20,CDS-DHrFob,ACH-000429,1,,,A704,PT-DcKly8x9,CVCL_1065,,gs://cclebams/RRBS/G29750/A-704/v1/A-704.bam,gs://cclebams/RRBS/G29750/A-704/v1/A-704.bai,,Male,,78.0,kidney,Kidney Cancer,renal_cell_carcinoma,,kidney,,,RRBS,,,CCLE line,CCLE2,24/4/2013,,,,u3Ejyw==,,,,,,,,,,,3264234170
