,name,namespace,rootEntityType,methodName,methodVersion,methodNamespace,methodUri,sourceRepo,methodPath
0,aggregate_vcfs_indels,broad-firecloud-ccle,sample_set,aggregate_vcfs,22,jkobject,agora://jkobject/aggregate_vcfs/22,agora,
1,aggregate_vcfs_snp,broad-firecloud-ccle,sample_set,aggregate_vcfs,22,jkobject,agora://jkobject/aggregate_vcfs/22,agora,
2,aggregate_vcfs_sv,broad-firecloud-ccle,sample_set,aggregate_vcfs,22,jkobject,agora://jkobject/aggregate_vcfs/22,agora,
3,aggregate_vcfs_sv_somatic,broad-firecloud-ccle,sample_set,aggregate_vcfs,22,jkobject,agora://jkobject/aggregate_vcfs/22,agora,
4,Aggrerate_CSVs,broad-firecloud-ccle,sample_set,Aggregate_CSVs,2,colganwi,agora://colganwi/Aggregate_CSVs/2,agora,
5,cnn-variant-filter,broad-firecloud-ccle,sample,,master,,dockstore://github.com%2Fbroadinstitute%2Fdepmap_omics%2Fcnn-variant-filter/master,dockstore,github.com/broadinstitute/depmap_omics/cnn-variant-filter
6,CramToBam.wdl,broad-firecloud-ccle,sample,CramToBam.wdl,4,jnoorbak,agora://jnoorbak/CramToBam.wdl/4,agora,
7,manta_annot,broad-firecloud-ccle,sample,,dev,,dockstore://github.com%2Fbroadinstitute%2Fdepmap_omics%2Fmanta_annot/dev,dockstore,github.com/broadinstitute/depmap_omics/manta_annot
8,Manta_SomaticSV_original,broad-firecloud-ccle,sample,Manta_SomaticSV,9,GP-TAG,agora://GP-TAG/Manta_SomaticSV/9,agora,
9,omics_mutect2,broad-firecloud-ccle,sample,,master,,dockstore://github.com%2Fbroadinstitute%2Fdepmap_omics%2Fomics_mutect2/master,dockstore,github.com/broadinstitute/depmap_omics/omics_mutect2
10,omics_post_mutect2,broad-firecloud-ccle,sample,,dev,,dockstore://github.com%2Fbroadinstitute%2Fdepmap_omics%2Fomics_post_mutect2/dev,dockstore,github.com/broadinstitute/depmap_omics/omics_post_mutect2
11,opencravat_dm,broad-firecloud-ccle,sample,,dev,,dockstore://github.com%2Fbroadinstitute%2Fdepmap_omics%2Fopencravat_dm/dev,dockstore,github.com/broadinstitute/depmap_omics/opencravat_dm
12,PreProcessingForVariantDiscovery_GATK4_hg19,broad-firecloud-ccle,sample,PreProcessingForVariantDiscovery_GATK4,8,gatk,agora://gatk/PreProcessingForVariantDiscovery_GATK4/8,agora,
13,PureCN_dev,broad-firecloud-ccle,sample,,dev,,dockstore://github.com%2Fbroadinstitute%2Fdepmap_omics%2FPureCN/dev,dockstore,github.com/broadinstitute/depmap_omics/PureCN
14,vcf_to_depmap,broad-firecloud-ccle,sample,,dev,,dockstore://github.com%2Fbroadinstitute%2Fdepmap_omics%2Fvcf_to_depmap/dev,dockstore,github.com/broadinstitute/depmap_omics/vcf_to_depmap
15,WGS_aggregate,broad-firecloud-ccle,sample_set,,master,,dockstore://github.com%2Fbroadinstitute%2Fdepmap_omics%2FWGS_aggregate/master,dockstore,github.com/broadinstitute/depmap_omics/WGS_aggregate
16,WGS_pipeline,broad-firecloud-ccle,sample,,master,,dockstore://github.com%2Fbroadinstitute%2Fdepmap_omics%2FWGS_pipeline/master,dockstore,github.com/broadinstitute/depmap_omics/WGS_pipeline
17,WGS_pipeline_22Q2,broad-firecloud-ccle,sample,,master,,dockstore://github.com%2Fbroadinstitute%2Fdepmap_omics%2FWGS_pipeline_22Q2/master,dockstore,github.com/broadinstitute/depmap_omics/WGS_pipeline_22Q2
18,WGS_pipeline_hg38,broad-firecloud-ccle,sample,,dev,,dockstore://github.com%2Fbroadinstitute%2Fdepmap_omics%2FWGS_pipeline/dev,dockstore,github.com/broadinstitute/depmap_omics/WGS_pipeline
19,WGS_preprocessing,broad-firecloud-ccle,sample,,master,,dockstore://github.com%2Fbroadinstitute%2Fdepmap_omics%2FWGS_preprocessing/master,dockstore,github.com/broadinstitute/depmap_omics/WGS_preprocessing
20,msisensor2,dwu,sample,msisensor2,5,dwu,agora://dwu/msisensor2/5,agora,
21,CNV_Somatic_Pair_Workflow,gatk,,CNV_Somatic_Pair_Workflow,15,gatk,agora://gatk/CNV_Somatic_Pair_Workflow/15,agora,
22,CNV_Somatic_Workflow_on_Sample,gatk,sample,CNV_Somatic_Pair_Workflow,15,gatk,agora://gatk/CNV_Somatic_Pair_Workflow/15,agora,
23,mutect2-gatk4,gatk,sample,mutect2-gatk4,21,gatk,agora://gatk/mutect2-gatk4/21,agora,
24,PreProcessingForVariantDiscovery_GATK4,gatk,sample,PreProcessingForVariantDiscovery_GATK4,8,gatk,agora://gatk/PreProcessingForVariantDiscovery_GATK4/8,agora,
25,Aggregate_CN_seg_files,gkugener,sample_set,Aggregate_CN_seg_files,2,gkugener,agora://gkugener/Aggregate_CN_seg_files/2,agora,
26,ArrayOfFilesToTxt,gkugener,sample,ArrayOfFilesToTxt,1,gkugener,agora://gkugener/ArrayOfFilesToTxt/1,agora,
27,liftover,jkobject,sample,liftover,10,jkobject,agora://jkobject/liftover/10,agora,
28,Manta_SomaticSV,jkobject,sample,Manta_SomaticSV,1,jkobject,agora://jkobject/Manta_SomaticSV/1,agora,
29,BamToUnmappedRGBams,vdauwera,sample,BamToUnmappedRGBams,3,vdauwera,agora://vdauwera/BamToUnmappedRGBams/3,agora,
