ensembl_gene_id,hgnc_id
ENSG00000200975,U1-7P
ENSG00000233645,358876.2
ENSG00000251977,U6-991P
ENSG00000162426,C45A1
ENSG00000252254,00019
ENSG00000142599,RE
ENSG00000232912,096855.1
ENSG00000221083,00599
ENSG00000270282,096855.2
ENSG00000234619,L7P11
ENSG00000224315,L7P7
ENSG00000222511,00019
ENSG00000226545,357552.1
ENSG00000228423,357552.2
ENSG00000229716,L23AP19
ENSG00000074800,O1
ENSG00000274258,R6728
ENSG00000230679,O1-AS1
ENSG00000201725,U6-304P
ENSG00000238249,GN2P17
ENSG00000232208,139415.1
ENSG00000232663,139415.2
ENSG00000131686,6
ENSG00000265141,7SL451P
ENSG00000197241,C2A7
ENSG00000142583,C2A5
ENSG00000252404,00424
ENSG00000180758,R157
ENSG00000228526,R34AHG
ENSG00000284357,R34A
ENSG00000234546,CTAM34A
ENSG00000049239,PD
ENSG00000171621,SB1
ENSG00000284652,323043.1
ENSG00000284693,928921.2
ENSG00000252956,A5SP40
ENSG00000235263,928921.1
ENSG00000171612,C25A33
ENSG00000231181,954705.1
ENSG00000188807,EM201
ENSG00000171608,K3CD
ENSG00000179840,K3CD-AS1
ENSG00000233268,691449.1
ENSG00000231789,K3CD-AS2
ENSG00000171603,STN1
ENSG00000271264,T1P1
ENSG00000280113,357140.3
ENSG00000178585,NNBIP1
ENSG00000223989,357140.1
ENSG00000285701,357140.5
ENSG00000162441,IC
ENSG00000228150,357140.2
ENSG00000173614,NAT1
ENSG00000202415,7SKP269
ENSG00000283611,357140.4
ENSG00000265521,R5697
ENSG00000241326,603962.1
ENSG00000162444,P7
ENSG00000130939,E4B
ENSG00000224340,590639.1
ENSG00000233623,AM1P11
ENSG00000201746,U6-828P
ENSG00000054523,F1B
ENSG00000264881,R1273D
ENSG00000199562,U6-37P
ENSG00000264501,7SL731P
ENSG00000284735,139424.3
ENSG00000284642,139424.2
ENSG00000142657,D
ENSG00000271989,139424.1
ENSG00000251503,NPS-CORT
ENSG00000175279,NPS
ENSG00000241563,RT
ENSG00000160049,FA
ENSG00000203469,354956.1
ENSG00000142655,X14
ENSG00000243267,7SL614P
ENSG00000130940,SZ1
ENSG00000272078,139423.1
ENSG00000225158,PE1P24
ENSG00000175262,orf127
ENSG00000215785,L1P6
ENSG00000120948,RDBP
ENSG00000277726,109811.4
ENSG00000009724,SP2
ENSG00000271895,109811.3
ENSG00000116649,M
ENSG00000171824,OSC10
ENSG00000226849,109811.1
ENSG00000230337,109811.2
ENSG00000198793,OR
ENSG00000225602,OR-AS1
ENSG00000253086,U6-537P
ENSG00000171819,GPTL7
ENSG00000207451,U6-291P
ENSG00000238173,L39P6
ENSG00000120942,IAD1
ENSG00000238199,E2V2P3
ENSG00000284646,031291.1
ENSG00000224338,CYBP45
ENSG00000204624,SP3
ENSG00000285833,590989.1
ENSG00000235643,NC01647
ENSG00000284708,031731.1
ENSG00000116661,XO2
ENSG00000132879,XO44
ENSG00000116663,XO6
ENSG00000116670,D2L2
ENSG00000162490,AXIN
ENSG00000177674,TRAP
ENSG00000215910,orf167
ENSG00000177553,953897.1
ENSG00000177000,HFR
ENSG00000011021,CN6
ENSG00000276470,02156
ENSG00000278852,02157
ENSG00000175206,PA
ENSG00000275915,02158
ENSG00000120937,PB
ENSG00000224904,021155.1
ENSG00000285646,021155.2
ENSG00000199347,U5E-1
ENSG00000201801,U5E-4P
ENSG00000116685,AA2013
ENSG00000083444,OD1
ENSG00000116688,N2
ENSG00000270914,096840.1
ENSG00000116691,IP
ENSG00000202461,00019
ENSG00000276869,R6729
ENSG00000243539,7SL649P
ENSG00000120949,FRSF8
ENSG00000201135,U6-777P
ENSG00000227875,L23AP89
ENSG00000285604,357835.1
ENSG00000283789,R7846
ENSG00000028137,FRSF1B
ENSG00000263676,R4632
ENSG00000225196,L10P17
ENSG00000252969,00156
ENSG00000048707,S13D
ENSG00000239149,ORA59A
ENSG00000229484,243836.1
ENSG00000162496,RS3
ENSG00000221340,U6ATAC18P
ENSG00000276830,R6730
ENSG00000272482,254633.1
ENSG00000204518,DACL4
ENSG00000226166,244670.1
ENSG00000188984,DACL3
ENSG00000157330,orf158
ENSG00000116726,AMEF12
ENSG00000116721,AMEF1
ENSG00000228338,NC01784
ENSG00000239810,AMEF11
ENSG00000231103,AMEF30P
ENSG00000179172,RNPCL1
ENSG00000120952,AMEF2
ENSG00000243073,AMEF4
ENSG00000187545,AMEF10
ENSG00000204510,AMEF7
ENSG00000207434,U6-1072P
ENSG00000234064,AMEF29P
ENSG00000232423,AMEF6
ENSG00000274178,AMEF28P
ENSG00000274764,AMEF27
ENSG00000277058,RNPCL3
ENSG00000229571,AMEF25
ENSG00000277862,AMEF34P
ENSG00000236179,AMEF35P
ENSG00000275774,RNPCL2
ENSG00000229978,AMEF36P
ENSG00000233336,245056.1
ENSG00000280267,AMEF26
ENSG00000179412,RNPCL4
ENSG00000204505,AMEF9
ENSG00000279169,AMEF13
ENSG00000279804,AMEF18
ENSG00000250894,AMEF31P
ENSG00000270601,AMEF5
ENSG00000231219,AMEF32P
ENSG00000207511,U6-771P
ENSG00000182330,AMEF8
ENSG00000237700,AMEF33
ENSG00000204501,AMEF15
ENSG00000228229,243961.1
ENSG00000204481,AMEF14
ENSG00000204480,AMEF19
ENSG00000204479,AMEF17
ENSG00000204478,AMEF20
ENSG00000162494,RC38
ENSG00000259961,354712.1
ENSG00000215909,WD1P1
ENSG00000162493,PN
ENSG00000222952,A5SP41
ENSG00000237445,359771.1
ENSG00000253085,00564
ENSG00000116731,DM2
ENSG00000189337,ZN
ENSG00000252151,U6-1265P
ENSG00000231606,357873.1
ENSG00000234593,ZN-AS1
ENSG00000235829,CAP2
ENSG00000175147,EM51-AS1
ENSG00000171729,EM51
ENSG00000204464,orf195
ENSG00000215720,035405.1
ENSG00000278480,391094.1
ENSG00000142621,AD1
ENSG00000233485,031283.2
ENSG00000236045,031283.3
ENSG00000228140,031283.1
ENSG00000142634,HD2
ENSG00000162438,RC
ENSG00000142615,LA2A
ENSG00000215704,LA2B
ENSG00000132906,SP9
ENSG00000116138,AJC16
ENSG00000251866,ARNA21B
ENSG00000272510,121992.3
ENSG00000116771,MAT
ENSG00000237301,121992.1
ENSG00000235084,CHD2P6
ENSG00000252417,U7-179P
ENSG00000236500,24P1
ENSG00000197312,I2
ENSG00000215695,C1A1
ENSG00000271742,121992.2
ENSG00000116786,EKHM2
ENSG00000237938,450998.2
ENSG00000162461,C25A34
ENSG00000224459,C25A34-AS1
ENSG00000162460,EM82
ENSG00000162458,LIM1
ENSG00000224321,L12P14
ENSG00000233954,CRHL
ENSG00000178715,450998.1
ENSG00000179743,J37453
ENSG00000065526,EN
ENSG00000270620,034555.1
ENSG00000116809,TB17
ENSG00000234607,355994.4
ENSG00000231353,355994.1
ENSG00000275503,355994.5
ENSG00000224966,C1D3P6
ENSG00000183888,ARP
ENSG00000233078,355994.3
ENSG00000173641,PB7
ENSG00000186510,CNKA
ENSG00000232456,355994.2
ENSG00000184908,CNKB
ENSG00000185519,M131C
ENSG00000142627,HA2
ENSG00000227959,451042.2
ENSG00000224621,451042.1
ENSG00000234166,HGEF19-AS1
ENSG00000142632,HGEF19
ENSG00000237276,O7L1
ENSG00000132881,LANE2
ENSG00000233929,1XP1
ENSG00000037637,XO42
ENSG00000055070,RD1
ENSG00000226457,L22P3
ENSG00000187144,ATA21
ENSG00000157191,CAP2
ENSG00000226029,NC01772
ENSG00000080947,OCCP3
ENSG00000206652,U1-1
ENSG00000261135,137802.2
ENSG00000285853,137802.3
ENSG00000224174,137802.1
ENSG00000233421,NC01783
ENSG00000277344,U1-6P
ENSG00000225710,355149.1
ENSG00000219481,PF1
ENSG00000271732,137798.1
ENSG00000215908,OCCP2
ENSG00000283773,137798.3
ENSG00000186301,T1P2
ENSG00000282143,137798.2
ENSG00000207513,U1-3
ENSG00000280114,021920.2
ENSG00000236698,F1AXP1
ENSG00000268869,PNP
ENSG00000279151,021920.1
ENSG00000282740,021920.3
ENSG00000058453,OCC
ENSG00000227684,OCCP4
ENSG00000207389,U1-4
ENSG00000186715,T1L
ENSG00000223643,284668.1
ENSG00000230239,284668.3
ENSG00000263811,R3675
ENSG00000228549,284668.2
ENSG00000277234,U1-5P
ENSG00000238142,284668.5
ENSG00000235241,284668.4
ENSG00000207005,U1-2
ENSG00000272426,284668.6
ENSG00000117122,AP2
ENSG00000226526,049569.1
ENSG00000159363,P13A2
ENSG00000117118,HB
ENSG00000117115,DI2
ENSG00000204362,590644.1
ENSG00000282843,590644.3
ENSG00000142623,DI1
ENSG00000142619,DI3
ENSG00000266634,R3972
ENSG00000159339,DI4
ENSG00000276747,DI6
ENSG00000227751,004824.1
ENSG00000179051,C2
ENSG00000074964,HGEF10L
ENSG00000236648,136529.1
ENSG00000117148,TL8
ENSG00000284653,357509.1
ENSG00000261781,NC01654
ENSG00000117154,SF21
ENSG00000280222,365209.1
ENSG00000230035,SF21-AS1
ENSG00000225387,591896.1
ENSG00000179023,HDC7A
ENSG00000235282,NLL1P3
ENSG00000225478,031737.1
ENSG00000009709,X7
ENSG00000179002,S1R2
ENSG00000255275,080251.1
ENSG00000159423,DH4A1
ENSG00000265606,R4695
ENSG00000221662,R1290
ENSG00000169991,FO2
ENSG00000272084,137127.1
ENSG00000127481,R4
ENSG00000230424,035413.1
ENSG00000127463,C1
ENSG00000053372,TO4
ENSG00000211454,R7L
ENSG00000162482,R7A3
ENSG00000270728,035413.2
ENSG00000053371,R7A2
ENSG00000200403,U6-1099P
ENSG00000040487,LC2
ENSG00000077549,PZB
ENSG00000240490,7SL277P
ENSG00000173436,NOS1
ENSG00000201609,U4-28P
ENSG00000235185,031727.2
ENSG00000158747,L1
ENSG00000270136,NOS1-NBL1
ENSG00000226396,031727.1
ENSG00000158748,R6
ENSG00000162542,CO4
ENSG00000178828,F186
ENSG00000235434,391883.1
ENSG00000169914,UD3
ENSG00000188784,A2G2E
ENSG00000242688,7SL304P
ENSG00000188257,A2G2A
ENSG00000127472,A2G5
ENSG00000117215,A2G2D
ENSG00000158786,A2G2F
ENSG00000227066,8257.1
ENSG00000187980,A2G2C
ENSG00000225986,XN10-AS1
ENSG00000162543,XN10
ENSG00000228105,NC01757
ENSG00000284710,8257.2
ENSG00000158816,A5B1
ENSG00000226664,020998.1
ENSG00000236963,NC01141
ENSG00000226487,139254.1
ENSG00000284641,139254.2
ENSG00000284743,139254.3
ENSG00000162545,MK2N1
ENSG00000090432,L1
ENSG00000215520,S4XP4
ENSG00000183114,M43B
ENSG00000158825,A
ENSG00000158828,NK1
ENSG00000284005,R6084
ENSG00000117242,NK1-AS
ENSG00000244038,OST
ENSG00000117245,F17
ENSG00000235432,663074.2
ENSG00000189410,2D5
ENSG00000233069,663074.1
ENSG00000127483,1BP3
ENSG00000075151,F4G3
ENSG00000251914,U7-200P
ENSG00000221808,R1256
ENSG00000233072,S15AP6
ENSG00000236073,627311.1
ENSG00000235112,PE1P27
ENSG00000117298,E1
ENSG00000236936,031005.1
ENSG00000231105,031728.1
ENSG00000236216,P1R11P1
ENSG00000228823,592309.1
ENSG00000236009,592309.2
ENSG00000227001,PF2P
ENSG00000187952,6ST1P1
ENSG00000186543,OCCP5
ENSG00000142794,PF3
ENSG00000176378,N1P10
ENSG00000162551,PL
ENSG00000233431,NC02596
ENSG00000076864,P1GAP
ENSG00000090686,P48
ENSG00000231978,590103.1
ENSG00000187942,LRAD2
ENSG00000142798,PG2
ENSG00000232037,590556.1
ENSG00000283234,590556.2
ENSG00000219073,LA3B
ENSG00000285959,590556.3
ENSG00000273610,7SL386P
ENSG00000201919,U6-1022P
ENSG00000142789,LA3A
ENSG00000278124,7SL186P
ENSG00000201273,U6-776P
ENSG00000228397,NC01635
ENSG00000218510,NC00339
ENSG00000285721,031281.2
ENSG00000285752,031281.3
ENSG00000285794,031281.4
ENSG00000070831,C42
ENSG00000230068,C42-IT1
ENSG00000271428,031281.1
ENSG00000162552,T4
ENSG00000285873,445253.1
ENSG00000266564,R4418
ENSG00000234397,IAP34
ENSG00000279625,591122.1
ENSG00000184677,TB40
ENSG00000237200,TB40-IT1
ENSG00000070886,HA8
ENSG00000276835,R6127
ENSG00000173372,QA
ENSG00000159189,QC
ENSG00000173369,QB
ENSG00000133216,HB2
ENSG00000265422,R4684
ENSG00000225952,512444.1
ENSG00000264014,R4253
ENSG00000215906,CTBL1
ENSG00000227868,X46
ENSG00000004487,M1A
ENSG00000240553,031428.1
ENSG00000263793,R3115
ENSG00000266802,R4419A
ENSG00000169641,ZP1
ENSG00000229010,161672.1
ENSG00000206935,U6-514P
ENSG00000252578,U6-135P
ENSG00000179546,R1D
ENSG00000215381,109936.1
ENSG00000261326,NC01355
ENSG00000284726,109936.6
ENSG00000125944,RNPR
ENSG00000125945,F436
ENSG00000249087,F436-AS1
ENSG00000201405,00019
ENSG00000271420,109936.2
ENSG00000204219,EA3
ENSG00000232482,357134.1
ENSG00000088280,AP3
ENSG00000007968,F2
ENSG00000235052,021154.1
ENSG00000117318,3
ENSG00000285802,450043.1
ENSG00000197880,S2
ENSG00000229239,451000.1
ENSG00000142676,L11
ENSG00000011007,OA
ENSG00000236810,OA-AS1
ENSG00000057757,THD1
ENSG00000011009,PLA2
ENSG00000117308,LE
ENSG00000117305,GCL
ENSG00000179163,CA1
ENSG00000188822,R2
ENSG00000229106,BD6P1
ENSG00000232557,590609.3
ENSG00000264926,R378F
ENSG00000230228,590609.2
ENSG00000189266,RC2
ENSG00000188529,SF10
ENSG00000215905,590609.1
ENSG00000225315,591178.1
ENSG00000142661,OM3
ENSG00000230703,591178.2
ENSG00000142677,22RA1
ENSG00000185436,NLR1
ENSG00000230023,590683.1
ENSG00000232298,138902.1
ENSG00000158055,HL3
ENSG00000001460,PG1
ENSG00000001461,PAL3
ENSG00000117602,AN3
ENSG00000264443,445686.2
ENSG00000184454,MAP
ENSG00000227312,445686.1
ENSG00000239106,00019
ENSG00000133226,RM1
ENSG00000284699,445648.1
ENSG00000169504,IC4
ENSG00000238482,U6-1208P
ENSG00000020633,NX3
ENSG00000278034,R6731
ENSG00000229162,445471.1
ENSG00000261025,445471.2
ENSG00000264371,R4425
ENSG00000285823,050344.2
ENSG00000233755,050344.1
ENSG00000233419,121994.1
ENSG00000231953,031432.1
ENSG00000117614,F2
ENSG00000284602,031432.4
ENSG00000284657,031432.5
ENSG00000117616,RP1
ENSG00000272432,031432.3
ENSG00000261349,031432.2
ENSG00000187010,D
ENSG00000224183,HDP6
ENSG00000259984,928711.1
ENSG00000183726,EM50A
ENSG00000188672,CE
ENSG00000238084,031284.1
ENSG00000204178,CO1
ENSG00000157978,LRAP1
ENSG00000225643,606491.1
ENSG00000117643,N1C1
ENSG00000233478,031280.1
ENSG00000162430,LENON
ENSG00000255054,020996.2
ENSG00000228172,020996.1
ENSG00000117640,FR1L
ENSG00000272478,020996.3
ENSG00000127423,NIP
ENSG00000236528,033528.2
ENSG00000182749,QR7
ENSG00000207302,00019
ENSG00000117632,MN1
ENSG00000229786,RPFP2
ENSG00000223624,033528.1
ENSG00000283938,R3917
ENSG00000158006,FAH2
ENSG00000207237,U6-110P
ENSG00000252190,00492
ENSG00000252691,00283
ENSG00000158008,TL1
ENSG00000158014,C30A2
ENSG00000284309,391650.2
ENSG00000158022,IM63
ENSG00000175087,IK1L
ENSG00000197245,M110D
ENSG00000282872,orf232
ENSG00000236782,391650.1
ENSG00000142684,F593
ENSG00000142675,KSR1
ENSG00000188782,TSPER4
ENSG00000236155,355877.1
ENSG00000278572,355877.3
ENSG00000130695,P85
ENSG00000270733,355877.2
ENSG00000142669,3BGRL3
ENSG00000158062,XN11
ENSG00000169442,52
ENSG00000176092,YBG2
ENSG00000225854,451139.1
ENSG00000176083,F683
ENSG00000131914,N28A
ENSG00000117682,DDS
ENSG00000223583,513365.1
ENSG00000225891,513365.2
ENSG00000198830,GN2
ENSG00000224129,PA2P2
ENSG00000117676,S6KA1
ENSG00000238705,R1976
ENSG00000243905,7SL679P
ENSG00000252802,00019
ENSG00000252429,U7-29P
ENSG00000229247,627313.1
ENSG00000238316,01210
ENSG00000235069,627082.1
ENSG00000260063,512408.1
ENSG00000117713,ID1A
ENSG00000060642,GV
ENSG00000241188,7SL165P
ENSG00000204160,HHC18
ENSG00000175793,N
ENSG00000226698,034380.1
ENSG00000142751,N2
ENSG00000198746,ATCH3
ENSG00000090273,DC
ENSG00000131910,0B2
ENSG00000175707,F1
ENSG00000172746,L12P13
ENSG00000224064,356390.1
ENSG00000225294,TCP2
ENSG00000253368,NP1
ENSG00000158246,NT5B
ENSG00000090020,C9A1
ENSG00000229985,590640.2
ENSG00000214973,CHD3P3
ENSG00000225159,M1P39
ENSG00000225990,RPEP7
ENSG00000224311,590640.1
ENSG00000142784,TC1
ENSG00000252098,00019
ENSG00000243659,393419.3
ENSG00000186501,EM222
ENSG00000206888,U6-48P
ENSG00000241547,TG1P20
ENSG00000142765,TL1
ENSG00000142733,P3K6
ENSG00000142748,N3
ENSG00000174950,164L2
ENSG00000231207,393419.1
ENSG00000181773,R3
ENSG00000158195,SF2
ENSG00000241169,393419.2
ENSG00000237429,293535.1
ENSG00000126705,DC1
ENSG00000000938,R
ENSG00000235912,031729.1
ENSG00000233975,NC02574
ENSG00000126709,I6
ENSG00000225886,445490.1
ENSG00000206767,U6-949P
ENSG00000226662,MP1AP1
ENSG00000207095,U6-424P
ENSG00000009780,M76A
ENSG00000231344,020997.1
ENSG00000230833,EP3
ENSG00000117758,X12
ENSG00000269971,020997.2
ENSG00000270031,020997.3
ENSG00000223062,U6-1245P
ENSG00000117751,P1R8
ENSG00000252947,ARNA1
ENSG00000130775,EMIS2
ENSG00000117748,A2
ENSG00000130768,PDL3B
ENSG00000227050,512288.1
ENSG00000158156,R8
ENSG00000158161,A3
ENSG00000238231,512288.2
ENSG00000240750,7SL559P
ENSG00000228589,CS2P4
ENSG00000228943,137792.2
ENSG00000214812,137792.1
ENSG00000253005,U6-176P
ENSG00000169403,AFR
ENSG00000126698,AJC8
ENSG00000130770,P5IF1
ENSG00000270605,353622.1
ENSG00000271398,353622.2
ENSG00000130766,SN2
ENSG00000130772,D18
ENSG00000204138,ACTR4
ENSG00000206779,00019
ENSG00000229820,391992.1
ENSG00000221216,U6ATAC27P
ENSG00000180198,C1
ENSG00000242125,HG3
ENSG00000274266,ORA73A
ENSG00000200087,ORA73B
ENSG00000231468,DX3P2
ENSG00000279443,513497.1
ENSG00000180098,NAU1AP
ENSG00000197989,HG12
ENSG00000221539,ORD99
ENSG00000278274,ORA61
ENSG00000273544,ORA44
ENSG00000280498,ORA16A
ENSG00000274582,ORA16A
ENSG00000120656,F12
ENSG00000188060,B42
ENSG00000229388,NC01715
ENSG00000270103,360012.1
ENSG00000274978,U11
ENSG00000162419,EB1
ENSG00000252777,00422
ENSG00000198492,HDF2
ENSG00000116329,RD1
ENSG00000233427,009181.1
ENSG00000199756,00019
ENSG00000159023,B41
ENSG00000225616,138785.1
ENSG00000206704,00019
ENSG00000277958,00017
ENSG00000253304,EM200B
ENSG00000225750,357500.1
ENSG00000116350,SF4
ENSG00000277916,02271
ENSG00000116353,CR
ENSG00000237934,590729.1
ENSG00000060656,PRU
ENSG00000230523,NC01756
ENSG00000225011,671862.1
ENSG00000228176,092265.1
ENSG00000284676,645944.2
ENSG00000270927,645944.1
ENSG00000233399,NC01648
ENSG00000233372,137076.1
ENSG00000231251,021921.1
ENSG00000236335,161638.2
ENSG00000231949,161638.1
ENSG00000162510,TN1
ENSG00000186056,TN1-AS1
ENSG00000162511,PTM5
ENSG00000264773,R4420
ENSG00000229607,137027.1
ENSG00000223382,NC01778
ENSG00000222784,7SKP91
ENSG00000235143,445235.1
ENSG00000162512,C3
ENSG00000266210,7SL371P
ENSG00000134644,M1
ENSG00000237329,356320.2
ENSG00000232768,356320.1
ENSG00000215900,LENOWP1
ENSG00000225142,114495.1
ENSG00000084628,AIN1
ENSG00000060688,RNP40
ENSG00000229447,114495.2
