Adult/Pediatric,Alias,CCLE Name,CCLF Age,CCLF Gender,CDDB Registration Id,COSMIC.ID,Cell Line Name,Comments,Date Created,Date Last Modified,ELN Pages,MTA Terms,Original Source,Part of Genentech Project (Y/N),Part of PRISM,Part of Project Drive,Past CCLE names,Primary Disease,Primary Hist,Primary/Metastasis,Program,Projects,PubID,RRID,Sample Collection Site,Sanger Model ID,Sharing Terms,Stripped Cell Line Name,Subtype,User Created,User Last Modified,WTSI Master Cell ID,arxspan_id,depmap_disease,depmap_disease_subtype,depmap_molecular_subtype,depmap_public_comments,depmap_tissue
Adult,OVCAR3,NIHOVCAR3_OVARY,60,Female,CDDB:135853,905933,NIH:OVCAR-3,CCLE line; High grade ovarian serous adenocarcinoma; Identical lines: NIH:OVCAR-3 and ONCO-DG-1 share high SNP identity,09/23/2015 12:51:07 PM,11/20/2019 04:55:19 PM,[{'ACH-000001-00': []}],-1,ATCC,-1,PRN300,-1,,Ovarian Cancer,Adenocarcinoma,Metastasis,CCLE,[],,CVCL_0465,ascites,SIDM00105,,NIHOVCAR3,"Adenocarcinoma, high grade serous",Arxspan Support,Emily Chambers,2201,ACH-000001,ovary_adenocarcinoma,high_grade_serous,,,ovary
Pediatric,,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,35,Female,CDDB:000371,905938,HL-60,CCLE line; no known fusion; p53 mut; NRAS mut; Eos-HL-60 is a variant of the promyelocytic cell line HL60 (ECACC) established by sub-cloning in methylcellulose.,09/23/2015 12:51:08 PM,11/20/2019 04:55:19 PM,[{'ACH-000002-00': []}],,ATCC,,,,,Leukemia,haematopoietic_neoplasm,Primary,CCLE,[],,CVCL_0002,haematopoietic_and_lymphoid_tissue,SIDM00829,,HL60,"Acute Myelogenous Leukemia (AML), M3 (Promyelocytic)",Arxspan Support,Emily Chambers,55,ACH-000002,AML,M3,,,blood
Adult,"CACO2, CaCo-2",CACO2_LARGE_INTESTINE,,Male,CDDB:000107,,CACO2,C2BBE1 is a clone of Caco2,09/23/2015 12:51:09 PM,11/19/2019 01:35:59 PM,[{'ACH-000003-00': []}],-1,ATCC,-1,,,,Colon/Colorectal Cancer,Adenocarcinoma,,Appendix,[],,CVCL_0025,Colon,SIDM00891,,CACO2,Adenocarcinoma,Arxspan Support,Emily Chambers,,ACH-000003,colorectal_adenocarcinoma,,,,colorectal
Adult,,HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,30,Male,CDDB:000362,907053,HEL,CCLE line; AML1-ETO; p53 mut; RAS WT; KIT mut; From same patient as HEL (ATCC/DSMZ).,09/23/2015 12:51:10 PM,11/20/2019 04:56:51 PM,[{'ACH-000004-00': []}],,DSMZ,,PRN300,,,Leukemia,haematopoietic_neoplasm,,CCLE,[],,CVCL_0001,haematopoietic_and_lymphoid_tissue,SIDM00594,,HEL,"Acute Myelogenous Leukemia (AML), M6 (Erythroleukemia)",Arxspan Support,Emily Chambers,783,ACH-000004,AML,M6,,,blood
Adult,,HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,30,Male,CDDB:000363,,HEL 92.1.7,CCLE line; CAMK2G-KCNJ10; p53 mut; NRAS mut; From same patient as HEL (ATCC/DSMZ).,09/23/2015 12:51:10 PM,11/20/2019 04:55:19 PM,[{'ACH-000005-00': []}],,ATCC,,PRN300,,HEL9217_2013_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Leukemia,haematopoietic_neoplasm,,CCLE,[],,CVCL_2481,bone_marrow,SIDM00593,,HEL9217,"Acute Myelogenous Leukemia (AML), M6 (Erythroleukemia)",Arxspan Support,Emily Chambers,,ACH-000005,AML,M6,,,blood
Pediatric,,MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,64,Male,CDDB:000702,908148,MONO-MAC-6,CCLE line; RUNX1-ATP8A2; p53 mut; RAS WT; FLT3 dependent in SH data; MONO-MAC-1 and MONO-MAC-6 were derived from the same patient,09/23/2015 12:51:11 PM,11/20/2019 04:56:51 PM,[{'ACH-000006-00': []}],,DSMZ,,PRN300,,,Leukemia,haematopoietic_neoplasm,Primary,CCLE,[],,CVCL_1426,haematopoietic_and_lymphoid_tissue,SIDM01023,,MONOMAC6,"Acute Myelogenous Leukemia (AML), M5 (Eosinophilic/Monocytic)",Arxspan Support,Emily Chambers,2167,ACH-000006,AML,M5,,,blood
Adult,,LS513_LARGE_INTESTINE,63,Male,CDDB:000632,907795,LS513,CCLE line; Identical lines: HCC-1588 and LS513 share high SNP identity. Really is LS513,09/23/2015 12:51:12 PM,11/20/2019 04:55:19 PM,[{'ACH-000007-00': []}],,ATCC,,P500,,,Colon/Colorectal Cancer,carcinoma,Primary,CCLE,[],,CVCL_1386,large_intestine,SIDM00677,,LS513,Adenocarcinoma,Arxspan Support,Emily Chambers,569,ACH-000007,colorectal_adenocarcinoma,,,,colorectal
Adult,,A101D_SKIN,56,Male,CDDB:000023,910921,A101D,CCLE line; Isolated from the same donor tissue as Hs 294T,09/23/2015 12:51:13 PM,11/20/2019 04:55:20 PM,[{'ACH-000008-00': []}],,ATCC,,P500,,,Skin Cancer,malignant_melanoma,,CCLE,[],,CVCL_1057,skin,SIDM00801,,A101D,Melanoma,Arxspan Support,Emily Chambers,1806,ACH-000008,melanoma,,,,skin
Adult,,C2BBE1_LARGE_INTESTINE,72,Male,CDDB:000102,910700,C2BBe1,CCLE line; clone of Caco2 (ATCC),09/23/2015 12:51:14 PM,11/20/2019 04:55:20 PM,[{'ACH-000009-00': []}],,ATCC,,,,,Colon/Colorectal Cancer,carcinoma,Primary,CCLE,[],,CVCL_1096,Colon,SIDM01233,,C2BBE1,Adenocarcinoma,Arxspan Support,Emily Chambers,2104,ACH-000009,colorectal_adenocarcinoma,,,,colorectal
Adult,NCI-H1581,NCIH2077_LUNG,,Male,CDDB:155486,,NCI-H2077,"Received from Academic lab (Meyerson, Broad) who received from Gazdar",09/23/2015 12:51:14 PM,11/20/2019 04:54:18 PM,[{'ACH-000010-00': []}],,Academic lab,,P500,,,Lung Cancer,Adenocarcinoma,,Appendix,[],,CVCL_5157,lung,,,NCIH2077,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",Arxspan Support,Emily Chambers,,ACH-000010,NSCLC,NSCLC_adenocarcinoma,,,lung
