,name,namespace,rootEntityType,methodName,methodVersion,methodNamespace,methodUri,sourceRepo,methodPath
0,aggregate_vcfs_indels,broad-firecloud-ccle,sample_set,aggregate_vcfs,22,jkobject,agora://jkobject/aggregate_vcfs/22,agora,
1,aggregate_vcfs_snp,broad-firecloud-ccle,sample_set,aggregate_vcfs,22,jkobject,agora://jkobject/aggregate_vcfs/22,agora,
2,aggregate_vcfs_sv,broad-firecloud-ccle,sample_set,aggregate_vcfs,22,jkobject,agora://jkobject/aggregate_vcfs/22,agora,
3,aggregate_vcfs_sv_somatic,broad-firecloud-ccle,sample_set,aggregate_vcfs,22,jkobject,agora://jkobject/aggregate_vcfs/22,agora,
4,cnn-variant-filter,broad-firecloud-ccle,sample,,master,,dockstore://github.com%2Fbroadinstitute%2Fdepmap_omics%2Fcnn-variant-filter/master,dockstore,github.com/broadinstitute/depmap_omics/cnn-variant-filter
5,manta_annot,broad-firecloud-ccle,sample,,master,,dockstore://github.com%2Fbroadinstitute%2Fdepmap_omics%2Fmanta_annot/master,dockstore,github.com/broadinstitute/depmap_omics/manta_annot
6,Manta_SomaticSV_original,broad-firecloud-ccle,sample,Manta_SomaticSV,9,GP-TAG,agora://GP-TAG/Manta_SomaticSV/9,agora,
7,omics_mutect2,broad-firecloud-ccle,sample,,master,,dockstore://github.com%2Fbroadinstitute%2Fdepmap_omics%2Fomics_mutect2/master,dockstore,github.com/broadinstitute/depmap_omics/omics_mutect2
8,PreProcessingForVariantDiscovery_GATK4_hg19,broad-firecloud-ccle,sample,PreProcessingForVariantDiscovery_GATK4,8,gatk,agora://gatk/PreProcessingForVariantDiscovery_GATK4/8,agora,
9,PureCN,broad-firecloud-ccle,sample,PureCN,14,colganwi,agora://colganwi/PureCN/14,agora,
10,WGS_aggregate,broad-firecloud-ccle,sample_set,,master,,dockstore://github.com%2Fbroadinstitute%2Fdepmap_omics%2FWGS_aggregate/master,dockstore,github.com/broadinstitute/depmap_omics/WGS_aggregate
11,WGS_pipeline,broad-firecloud-ccle,sample,,master,,dockstore://github.com%2Fbroadinstitute%2Fdepmap_omics%2FWGS_pipeline/master,dockstore,github.com/broadinstitute/depmap_omics/WGS_pipeline
12,msisensor2,dwu,sample,msisensor2,5,dwu,agora://dwu/msisensor2/5,agora,
13,CNV_Somatic_Pair_Workflow,gatk,,CNV_Somatic_Pair_Workflow,15,gatk,agora://gatk/CNV_Somatic_Pair_Workflow/15,agora,
14,CNV_Somatic_Workflow_on_Sample,gatk,sample,CNV_Somatic_Pair_Workflow,15,gatk,agora://gatk/CNV_Somatic_Pair_Workflow/15,agora,
15,mutect2-gatk4,gatk,sample,mutect2-gatk4,21,gatk,agora://gatk/mutect2-gatk4/21,agora,
16,PreProcessingForVariantDiscovery_GATK4,gatk,sample,PreProcessingForVariantDiscovery_GATK4,8,gatk,agora://gatk/PreProcessingForVariantDiscovery_GATK4/8,agora,
17,Aggregate_CN_seg_files,gkugener,sample_set,Aggregate_CN_seg_files,2,gkugener,agora://gkugener/Aggregate_CN_seg_files/2,agora,
18,ArrayOfFilesToTxt,gkugener,sample,ArrayOfFilesToTxt,1,gkugener,agora://gkugener/ArrayOfFilesToTxt/1,agora,
19,liftover,jkobject,sample,liftover,10,jkobject,agora://jkobject/liftover/10,agora,
20,Manta_SomaticSV,jkobject,sample,Manta_SomaticSV,1,jkobject,agora://jkobject/Manta_SomaticSV/1,agora,
21,BamToUnmappedRGBams,vdauwera,sample,BamToUnmappedRGBams,3,vdauwera,agora://vdauwera/BamToUnmappedRGBams/3,agora,
